Year,Round,Region,Team1,Seed1,Team2,Seed2,Score,Winner,Team1_Conf,Team1_Wins,Team1_Losses,Team1_WinPct,Team1_NetRtg,Team1_ORtg,Team1_DRtg,Team2_Conf,Team2_Wins,Team2_Losses,Team2_WinPct,Team2_NetRtg,Team2_ORtg,Team2_DRtg
2024,First Round,South,Duke,4,Vermont,13,64-47,Duke,ACC,27,9,0.75,26.47,121.6,95.2,AE,28,7,0.8,6.61,106.5,99.9
2024,First Round,South,Texas Tech,6,N.C. State,11,67-73,NC State,B12,23,11,0.6764705882352942,17.32,117.4,100.1,ACC,26,15,0.6341463414634146,15.9,114.3,98.4
2024,First Round,South,Kentucky,3,Oakland,14,85-76,Kentucky,SEC,23,10,0.696969696969697,19.29,122.2,102.9,Horz,24,12,0.6666666666666666,3.73,109.3,105.6
2024,First Round,South,Florida,7,Colorado,10,77-88,Colorado,SEC,24,12,0.6666666666666666,18.19,120.0,101.8,P12,26,11,0.7027027027027027,19.03,118.4,99.3
2024,First Round,South,Marquette,2,Western Kentucky,15,87-69,Marquette,BE,27,10,0.7297297297297297,23.02,118.2,95.2,CUSA,22,12,0.6470588235294118,2.9,105.4,102.5
2024,First Round,Midwest,Purdue,1,Grambling St.,16,78-50,Purdue,B10,34,5,0.8717948717948718,30.62,125.2,94.6,SWAC,21,15,0.5833333333333334,-7.09,100.1,107.2
2024,First Round,Midwest,Utah St.,8,TCU,9,65-88,TCU,MWC,28,7,0.8,14.89,116.0,101.1,B12,21,13,0.6176470588235294,16.04,114.7,98.7
2024,First Round,Midwest,Gonzaga,5,McNeese St.,12,86-65,Gonzaga,WCC,27,8,0.7714285714285715,23.17,122.6,99.4,Slnd,30,4,0.8823529411764706,11.8,113.4,101.5
2024,First Round,Midwest,Kansas,4,Samford,13,93-89,Kansas,B12,23,11,0.6764705882352942,17.94,113.5,95.6,SC,29,6,0.8285714285714286,10.03,113.6,103.6
2024,First Round,Midwest,South Carolina,6,Oregon,11,71-87,Oregon,SEC,26,8,0.7647058823529411,14.4,114.9,100.5,P12,24,12,0.6666666666666666,14.19,114.7,100.5
2024,First Round,Midwest,Creighton,3,Akron,14,77-60,Creighton,BE,25,10,0.7142857142857143,24.22,120.9,96.7,MAC,24,11,0.6857142857142857,4.58,106.8,102.2
2024,First Round,Midwest,Texas,7,Colorado St.,10,56-85,Colorado St.,B12,21,13,0.6176470588235294,18.77,116.5,97.7,MWC,25,11,0.6944444444444444,17.02,114.0,97.0
2024,First Round,Midwest,Tennessee,2,Saint Peter's,15,83-49,Tennessee,SEC,27,9,0.75,26.61,116.8,90.2,MAAC,19,14,0.5757575757575758,-3.03,98.4,101.4
2024,Second Round,East,Connecticut,1,Northwestern,9,75-58,UConn,BE,37,3,0.925,36.43,127.5,91.1,B10,22,12,0.6470588235294118,16.41,115.9,99.5
2024,Second Round,East,San Diego St.,5,Auburn,4,67-77,Auburn,MWC,26,11,0.7027027027027027,19.36,113.4,94.0,SEC,27,8,0.7714285714285715,27.99,120.4,92.4
2024,Second Round,East,Duquesne,11,Illinois,3,63-89,Illinois,A10,25,12,0.6756756756756757,9.19,107.2,98.0,B10,29,9,0.7631578947368421,24.53,125.5,101.0
2024,Second Round,East,Drake,10,Iowa St.,2,75-85,Iowa St.,MVC,28,7,0.8,14.53,115.1,100.5,B12,29,8,0.7837837837837838,26.47,113.9,87.5
2024,Second Round,West,North Carolina,1,Michigan St.,9,85-69,North Carolina,ACC,29,8,0.7837837837837838,26.19,119.7,93.5,B10,20,15,0.5714285714285714,20.58,114.3,93.7
2024,Second Round,West,Grand Canyon,12,Alabama,4,45-72,Alabama,WAC,30,5,0.8571428571428571,14.84,112.9,98.1,SEC,25,12,0.6756756756756757,22.96,126.0,103.0
2024,Second Round,West,Clemson,6,Baylor,3,72-64,Clemson,ACC,24,12,0.6666666666666666,19.44,117.7,98.3,B12,24,11,0.6857142857142857,21.9,122.4,100.5
2024,Second Round,West,Nevada,10,Arizona,2,59-83,Arizona,MWC,26,8,0.7647058823529411,16.41,115.0,98.6,P12,27,9,0.75,26.55,120.2,93.7
2024,Second Round,South,Houston,1,Texas A&M,9,72-56,Houston,B12,32,5,0.8648648648648649,31.17,118.9,87.7,SEC,21,15,0.5833333333333334,17.02,117.5,100.5
2024,Second Round,South,James Madison,12,Duke,4,56-93,Duke,SB,32,4,0.8888888888888888,12.42,113.0,100.6,ACC,27,9,0.75,26.47,121.6,95.2
2024,Second Round,South,N.C. State,11,Kentucky,3,80-73,NC State,ACC,26,15,0.6341463414634146,15.9,114.3,98.4,SEC,23,10,0.696969696969697,19.29,122.2,102.9
2024,Second Round,South,Colorado,10,Marquette,2,92-95,Marquette,P12,26,11,0.7027027027027027,19.03,118.4,99.3,BE,27,10,0.7297297297297297,23.02,118.2,95.2
2024,Second Round,Midwest,Purdue,1,TCU,9,106-67,Purdue,B10,34,5,0.8717948717948718,30.62,125.2,94.6,B12,21,13,0.6176470588235294,16.04,114.7,98.7
2024,Second Round,Midwest,Gonzaga,5,Kansas,4,89-68,Gonzaga,WCC,27,8,0.7714285714285715,23.17,122.6,99.4,B12,23,11,0.6764705882352942,17.94,113.5,95.6
2024,Second Round,Midwest,Oregon,11,Creighton,3,73-86,Creighton,P12,24,12,0.6666666666666666,14.19,114.7,100.5,BE,25,10,0.7142857142857143,24.22,120.9,96.7
2024,Second Round,Midwest,Colorado St.,10,Tennessee,2,85-82,Colorado St.,MWC,25,11,0.6944444444444444,17.02,114.0,97.0,SEC,27,9,0.75,26.61,116.8,90.2
2024,Sweet 16,East,Connecticut,1,Auburn,4,86-72,UConn,BE,37,3,0.925,36.43,127.5,91.1,SEC,27,8,0.7714285714285715,27.99,120.4,92.4
2024,Sweet 16,East,Illinois,3,Iowa St.,2,71-79,Iowa St.,B10,29,9,0.7631578947368421,24.53,125.5,101.0,B12,29,8,0.7837837837837838,26.47,113.9,87.5
2024,Sweet 16,West,North Carolina,1,Alabama,4,87-80,North Carolina,ACC,29,8,0.7837837837837838,26.19,119.7,93.5,SEC,25,12,0.6756756756756757,22.96,126.0,103.0
2024,Sweet 16,West,Clemson,6,Arizona,2,77-72,Clemson,ACC,24,12,0.6666666666666666,19.44,117.7,98.3,P12,27,9,0.75,26.55,120.2,93.7
2024,Sweet 16,South,Houston,1,Duke,4,54-75,Duke,B12,32,5,0.8648648648648649,31.17,118.9,87.7,ACC,27,9,0.75,26.47,121.6,95.2
2024,Sweet 16,South,N.C. State,11,Marquette,2,67-58,NC State,ACC,26,15,0.6341463414634146,15.9,114.3,98.4,BE,27,10,0.7297297297297297,23.02,118.2,95.2
2024,Sweet 16,Midwest,Purdue,1,Gonzaga,5,80-68,Purdue,B10,34,5,0.8717948717948718,30.62,125.2,94.6,WCC,27,8,0.7714285714285715,23.17,122.6,99.4
2024,Sweet 16,Midwest,Creighton,3,Tennessee,2,89-88,Creighton,BE,25,10,0.7142857142857143,24.22,120.9,96.7,SEC,27,9,0.75,26.61,116.8,90.2
2024,Elite Eight,East,Connecticut,1,Iowa St.,2,77-52,UConn,BE,37,3,0.925,36.43,127.5,91.1,B12,29,8,0.7837837837837838,26.47,113.9,87.5
2024,Elite Eight,West,North Carolina,1,Clemson,6,72-81,Clemson,ACC,29,8,0.7837837837837838,26.19,119.7,93.5,ACC,24,12,0.6666666666666666,19.44,117.7,98.3
2024,Elite Eight,South,Duke,4,N.C. State,11,75-76,NC State,ACC,27,9,0.75,26.47,121.6,95.2,ACC,26,15,0.6341463414634146,15.9,114.3,98.4
2024,Elite Eight,Midwest,Purdue,1,Creighton,3,72-71,Purdue,B10,34,5,0.8717948717948718,30.62,125.2,94.6,BE,25,10,0.7142857142857143,24.22,120.9,96.7
2024,Final Four,National,Connecticut,1,N.C. State,11,82-66,UConn,BE,37,3,0.925,36.43,127.5,91.1,ACC,26,15,0.6341463414634146,15.9,114.3,98.4
2024,Final Four,National,Purdue,1,Clemson,6,75-60,Purdue,B10,34,5,0.8717948717948718,30.62,125.2,94.6,ACC,24,12,0.6666666666666666,19.44,117.7,98.3
2024,Championship,National,Connecticut,1,Purdue,1,75-60,UConn,BE,37,3,0.925,36.43,127.5,91.1,B10,34,5,0.8717948717948718,30.62,125.2,94.6
